0
[  32.68424498 -117.1011119 ]
[  33.19851 -117.37725]
[  32.71886377 -117.15921696]
[  32.79051641 -117.09962133]
[  32.69384 -117.13378]
[  33.0048965  -117.09553707]
[  32.68232532 -117.18094346]
[  32.84942411 -117.26171916]
[  32.80768447 -116.95870683]
[  32.66315431 -117.05722023]
[  33.01870612 -117.06094052]
[  32.79931 -117.25626]
[  32.67578648 -117.10690997]
[  32.67210034 -117.09637147]
[  32.68013759 -117.1086    ]
[  32.91400649 -117.13267373]
[  32.71263626 -117.15468244]
[  32.6749878 -117.0401935]
[  32.75314409 -117.09655478]
[  33.10860418 -117.22536925]
[  32.75178889 -117.205756  ]
[  32.80294037 -116.9955597 ]
[  32.7809371  -117.03294344]
[  32.755226   -117.11577858]
[  32.72556879 -117.22839571]
[  32.74588301 -117.07949162]
[  32.78765869 -116.9647293 ]
[  32.80771271 -116.94583848]
[  32.82908679 -117.148841  ]
[  32.75463406 -117.05848857]
[  32.87758203 -117.21404435]
[  33.15007941 -117.1983062 ]
[  32.73142522 -117.16213011]
[  32.71364923 -117.1555999 ]
[  32.79216065 -117.24825649]
[  32.80204773 -116.9310074 ]
[  32.72003579 -117.03781451]
[  33.14950287 -117.29753566]
[  33.14751882 -117.3453661 ]
[  33.16450151 -117.34021813]
[  32.77576053 -117.1912155 ]
[  32.74559653 -117.12610765]
[  32.77390438 -117.06831345]
[  32.7968891 -117.2399589]
[  33.10291986 -117.31306882]
[  33.11540516 -117.09913546]
[  32.75539853 -117.09710947]
[  32.572788  -117.0824996]
[  32.98129806 -117.24617237]
[  33.12527 -117.10145]
[  32.69682786 -117.09807475]
[  32.71259154 -117.15740966]
[  32.74432224 -117.23377892]
[  33.12075221 -117.32714246]
[  33.10450459 -117.30513478]
[  32.77088828 -117.00601267]
[  33.0866766  -117.26885554]
[  33.12527 -117.10145]
[  32.7809761  -117.01076424]
[  33.13919985 -117.30731916]
[  33.11827446 -117.08825109]
[  33.06703981 -117.25608637]
[  33.20183 -117.33233]
[  32.80395126 -116.9710388 ]
[  32.76982467 -117.01000428]
[  33.14413 -117.09825]
[  33.09782359 -117.19982918]
[  33.13723 -117.08599]
[  33.14158543 -117.13903124]
[  33.13086 -117.05749]
[  33.11758 -117.09391]
[  33.12453 -117.09189]
[  33.15658036 -117.03146086]
[  33.20278 -117.36187]
[  33.11511 -117.07507]
[  33.13551132 -117.16388496]
[  33.24361 -117.28973]
[  33.11523056 -117.0845032 ]
[  33.13756 -117.05184]
[  33.11304 -117.10206]
[  33.14021 -117.06341]
[  32.67551484 -117.0977855 ]
[  33.11188 -117.08162]
[  32.67123138 -117.09603492]
[  33.13046 -117.08545]
[  32.76505356 -117.13909273]
[  33.1432  -117.09625]
[  32.67987389 -117.0801331 ]
[  32.68599959 -117.07074448]
[  33.17789743 -117.36445022]
[  33.18193 -117.33972]
[  32.75324244 -117.10936447]
[  32.6378636  -117.09217748]
[  33.13058491 -117.25934089]
[  32.66624355 -117.05741037]
[  32.77779433 -117.15573198]
[  32.80101649 -117.23529863]
[  32.95293828 -117.13018826]
[  32.64167235 -116.98211946]
[  32.96800117 -117.17832678]
[  33.13756 -117.05184]
[  32.72430576 -117.16298311]
[  33.16037 -117.09449]
[  32.67258162 -117.06325596]
[  33.20596 -117.36981]
[  32.75871928 -117.07312897]
[  33.235674   -117.30861424]
[  33.19210496 -117.36574762]
[  32.97101645 -117.15396471]
[  32.91057224 -117.15558134]
[  33.13199 -117.06992]
[  32.91381726 -117.13291895]
[  32.71046044 -117.08561705]
[  32.95256478 -117.13956404]
[  32.80031655 -116.95098302]
[  33.188   -117.37429]
[  32.79382243 -116.96479105]
[  32.6387535  -116.99039643]
[  32.82173438 -117.15955483]
[  32.60337927 -117.05341332]
[  33.13046 -117.08545]
[  33.13756 -117.05184]
[  32.62978921 -117.09254543]
[  33.13801224 -117.05073868]
[  32.66185107 -116.96454898]
[  32.60963537 -117.05621376]
[  32.60910272 -117.07184601]
[  32.62824179 -116.97817651]
[  32.63437538 -117.07722188]
[  32.79938167 -117.24272786]
[  33.13309 -117.06804]
[  32.62828731 -116.97416664]
[  32.87748026 -117.2141281 ]
[  32.66182693 -116.97139914]
[  33.1954143  -117.25476714]
[  32.72705334 -117.24774739]
[  32.92053521 -117.12270664]
[  32.71147024 -117.10289722]
[  32.64275415 -117.08838165]
[  32.57350444 -117.03748793]
[  32.65116829 -117.08607734]
[  32.60823684 -117.0281129 ]
[  32.70131824 -117.05806318]
[  32.70411821 -117.09372818]
